school,source_address,reason
121992 Anahao PS,"ANAHAO,BONTOC,SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
121993 Banahao PS,"BANAHAO, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
121994 Baugo PS,"BAUGO, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
121997 Buenavista ES,"BUENAVISTA, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
121998 Bunga ES,"BUNGA,BONTOC,SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
121999 Catmon ES,"CATMON, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122000 Catuogan PS,"CATUOGAN, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122001 Cawayanan ES,"CAWAYANAN, BONTOC SO. LEYTE",ambiguous_bontoc_i_or_ii
122002 Divisoria ES,"DIVISORIA, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122003 Esperanza ES,ESPERANZA ELEMENTARY SCHOOL,no_confident_district_match
122005 Hilaan ES,"HILAAN, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122006 Himakilo PS,"HIMAKILO, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122008 Lanao PS,"LANAO, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122009 Lawgawan PS,"LAWGAWAN, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122010 Mahayahay ES,MAHAYAHAY BONTOC SOUTHERN LEYTE,ambiguous_bontoc_i_or_ii
122011 Malbago ES,"MALBAGO, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122013 Mauylab PS,"MAUYLAB, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122014 Paku ES,"PAKU, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122015 Pamahawan PS,"PAMAHAWAN, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122017 Pangi PS,"PANGI, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122018 Sampongon MG ES,"SAMPONGON, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122019 San Vicente PS,"SAN VICENTE, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122020 Sta. Cruz ES,"STA. CRUZ, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122021 Taa ES,"TAA, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122022 Union ES,"UNION, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
122067 Biasong MGES,"BIASONG, HINUDAYAN, SOUTHERN LEYTE",no_confident_district_match
122086 Amaga ES,"AMAGA, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122087 Anilao ES,"ANILAO, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122088 Bahay ES,"BAHAY, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122091 Cagbungalon ES,"CAGBUNGALON, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122092 Calian ES,"CALIAN, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122093 Caligangan ES,"CALIGANGAN, LILOAN,SOUTHERN LEYTE",no_confident_district_match
122094 Catig PS,"CAtig, Liloan, Southern  Leyte",no_confident_district_match
122095 Estela ES,"ESTELA, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122096 Fatima PS,"FATIMA, LILOAN SOUTHERN LEYTE",no_confident_district_match
122097 Guintoylan ES,"GUINTOYLAN, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122099 Himayangan ES,HIMAY-ANGAN LILOAN SOUTHERN LEYTE,no_confident_district_match
122100 Ilag ES,"ILAG, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122101 Liloan CS,"POBLACION,LILOAN,SOUTHERN LEYTE",no_confident_district_match
122102 Magaupas ES,"MAGAUPAS, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122103 New Malangza ES,"MALANGZA,LILOAN SOUTHERN LEYTE",no_confident_district_match
122105 Mariano Silot Memorial ES,"MOLOPOLO, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122107 Pandan ES,"PANDAN, LILOAN SOUTHERN LEYTE",no_confident_district_match
122109 Pres. Quezon ES,PANDAN LILOAN SOUTHERN LEYTE,no_confident_district_match
122112 San Isidro ES,"SAN ISIDRO, LILOAN SO.  LEYTE",no_confident_district_match
122113 San Roque ES,SAB ROQUE ELEMENTARY SCHOOL,no_confident_district_match
122116 Tabugon ES,"TABUGON, LILOAN, SOUTHERN LEYTE",no_confident_district_match
122191 Rizal ES,"PUROK SAN PEDRO, RIZAL",no_confident_district_match
122192 Salvador ES,Salvador Elementary MG School,no_confident_district_match
122231 Benit ES,"BENIT, SAN RICARDO, SOUTHERN LEYTE",no_confident_district_match
122235 Esperanza ES,"ESPERANZA, SAN RICARDO, SO. LEYTE",no_confident_district_match
122236 Kinachawa ES,"Kinachawa,San Ricardo,Southern Leyte",no_confident_district_match
122240 Pinut-an ES,"PINUT-AN, SAN RICARDO, SO. LEYTE",no_confident_district_match
122242 San Ramon ES,"SAN RAMON, SAN RICARDO, SO. LEYTE",no_confident_district_match
122243 San Ricardo CS,"POBLACION/INOLINAN, SAN RICARDO, SOUTHERN LEYTE",no_confident_district_match
122244 Saub ES,"SAUB, SAN RICARDO, SO. LEYTE",no_confident_district_match
122296 Mahayahay ES,MAHAYAHAY ELEMENTARY SCHOOL,no_confident_district_match
192004 Casao PS,"CASAO, BONTOC,  SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
192005 Guinsangaan ES,"GUINSANGAAN, BONTOC,SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
192009 Candayuman PS,CANDAYUMAN LILOAN SO.LEYTE,no_confident_district_match
192018 Camang ES,"CAMANG, SAN RICARDO, SO. LEYTE",no_confident_district_match
303451 Divisoria NHS,"DIVISORIA, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
303456 Estela NHS,"ESTELA, LILOAN, SOUTHERN LEYTE",no_confident_district_match
303459 Himay-angan NHS,"HIMAYANGAN, LILOAN, SOUTHERN LEYTE",no_confident_district_match
303475 Paku NHS,"PAKU, BONTOC, SOUTHERN LEYTE",ambiguous_bontoc_i_or_ii
303478 Pinut-an NHS,"Pinut-an, San Ricardo, Southern Leyte",no_confident_district_match
303483 San Ricardo NHS,"L. SUZANO CERO, ST., POBLACION, SAN RICARDO, SOUTHERN LEYTE",no_confident_district_match
313403 Bontoc NHS,san ramon bontoc southern leyte,ambiguous_bontoc_i_or_ii
313409 Liloan NTVHS,"POBLACION, LILOAN, SOUTHERN LEYTE",no_confident_district_match
Please select your SCHOOL:,Complete School Address:,no_confident_district_match
